Min_hr,Max_hr,Mean_hr,Men_acc_sqrt,Min_acc_x,Max_acc_x,Mean_acc_x,Min_acc_y,Max_acc_y,Mean_acc_y,Min_acc_z,Max_acc_z,Mean_acc_z,Etiquetas binarias,Etiquetas multiclase,ID
96.0,108.0,105.0,1.02,-0.97,1.45,0.3,-1.19,0.28,-0.6,-1.67,0.77,-0.2,0.0,0.0,6.0
52.0,54.0,53.17,1.0,-0.43,-0.43,-0.43,-0.39,-0.38,-0.39,-0.82,-0.81,-0.81,0.0,0.0,23.0
67.0,73.0,69.8,1.0,-0.28,-0.27,-0.27,-0.07,-0.05,-0.06,0.95,0.97,0.96,0.0,0.0,24.0
54.0,57.0,56.33,1.0,-0.42,-0.42,-0.42,-0.1,-0.08,-0.09,-0.91,-0.9,-0.9,0.0,0.0,23.0
69.0,69.0,69.0,1.02,-0.84,0.03,-0.24,-0.96,1.59,0.17,-0.98,0.95,-0.1,0.0,0.0,24.0
70.0,72.0,71.2,0.99,-0.47,-0.14,-0.3,0.11,0.33,0.25,-1.15,-0.75,-0.91,0.0,0.0,19.0
60.0,66.0,63.83,1.0,0.5,0.52,0.5,-0.11,-0.09,-0.1,-0.86,-0.84,-0.85,0.0,0.0,25.0
57.0,68.0,62.5,1.0,-0.85,0.05,-0.45,-1.0,-0.07,-0.6,-1.1,0.86,-0.46,0.0,0.0,17.0
62.0,81.0,70.2,1.0,0.04,0.56,0.34,-0.96,-0.71,-0.81,-0.55,-0.33,-0.46,0.0,0.0,6.0
66.0,69.0,66.5,1.0,-0.86,-0.69,-0.77,-0.65,-0.25,-0.51,-0.55,-0.29,-0.37,0.0,0.0,17.0
62.0,72.0,66.0,0.99,-0.14,0.5,0.38,-1.11,-0.3,-0.61,-0.9,0.68,-0.1,0.0,0.0,6.0
63.0,66.0,64.17,1.0,0.17,0.18,0.18,0.21,0.22,0.22,-0.97,-0.96,-0.96,0.0,0.0,24.0
70.0,75.0,72.8,1.0,-0.36,-0.34,-0.34,-0.2,-0.19,-0.2,0.91,0.92,0.92,0.0,0.0,12.0
71.0,78.0,75.33,1.0,-0.09,0.15,0.06,-0.19,0.85,0.64,-1.16,-0.59,-0.75,0.0,0.0,19.0
53.0,69.0,58.67,0.99,-0.03,-0.02,-0.03,0.5,0.51,0.5,-0.86,-0.85,-0.85,0.0,0.0,0.0
73.0,74.0,73.71,1.0,0.25,0.26,0.26,0.67,0.68,0.67,-0.7,-0.69,-0.69,0.0,0.0,26.0
57.0,57.0,57.0,0.99,-0.04,-0.03,-0.03,0.52,0.53,0.53,-0.85,-0.83,-0.84,0.0,0.0,0.0
63.0,65.0,64.29,1.0,-0.28,-0.27,-0.28,-0.19,-0.13,-0.15,0.94,0.95,0.95,0.0,0.0,24.0
59.0,83.0,63.8,0.99,-0.54,0.56,-0.37,0.04,0.8,0.29,-1.14,-0.66,-0.82,0.0,0.0,29.0
58.0,60.0,59.0,1.0,-0.36,-0.35,-0.36,0.14,0.16,0.15,-0.93,-0.92,-0.93,0.0,0.0,24.0
55.0,56.0,55.2,0.99,-0.38,-0.36,-0.37,-0.07,-0.03,-0.05,-0.93,-0.91,-0.92,0.0,0.0,30.0
50.0,50.0,50.0,1.0,-0.2,-0.19,-0.19,0.29,0.29,0.29,-0.94,-0.93,-0.94,0.0,0.0,23.0
47.0,50.0,49.0,1.0,-0.37,-0.25,-0.35,-0.44,-0.19,-0.41,-1.08,-0.81,-0.84,0.0,0.0,23.0
68.0,68.0,68.0,0.99,-0.62,-0.61,-0.61,0.04,0.05,0.05,-0.78,-0.77,-0.78,0.0,0.0,27.0
75.0,80.0,76.83,1.0,0.09,0.09,0.09,0.96,0.98,0.97,0.23,0.24,0.24,0.0,0.0,19.0
58.0,92.0,65.33,0.99,0.06,0.21,0.09,0.07,0.59,0.23,-0.97,-0.78,-0.96,0.0,0.0,29.0
51.0,59.0,54.0,1.0,0.4,0.41,0.4,0.46,0.47,0.46,-0.79,-0.78,-0.79,0.0,0.0,0.0
54.0,57.0,56.0,1.01,-0.19,0.75,0.16,-0.75,1.02,-0.03,-1.15,0.05,-0.93,0.0,0.0,3.0
58.0,60.0,58.67,0.99,-0.45,-0.29,-0.4,-0.15,0.31,0.04,-1.09,-0.87,-0.91,0.0,0.0,25.0
71.0,75.0,72.0,1.02,-0.07,0.54,0.17,-0.93,1.61,0.35,-1.17,0.13,-0.72,0.0,0.0,21.0
51.0,86.0,73.8,1.0,0.07,0.08,0.07,0.62,0.65,0.63,-0.78,-0.76,-0.77,0.0,0.0,10.0
75.0,80.0,77.5,1.0,-0.18,-0.17,-0.18,-0.2,-0.19,-0.2,0.96,0.96,0.96,0.0,0.0,12.0
59.0,59.0,59.0,1.0,-0.02,-0.01,-0.01,-0.06,-0.06,-0.06,-1.0,-1.0,-1.0,0.0,0.0,1.0
64.0,65.0,64.8,0.99,-0.39,-0.38,-0.38,-0.16,-0.15,-0.15,-0.91,-0.9,-0.9,0.0,0.0,14.0
50.0,57.0,52.25,1.0,-0.96,-0.24,-0.32,-0.39,0.19,-0.02,-1.08,-0.67,-0.94,0.0,0.0,30.0
70.0,73.0,71.2,1.0,0.41,0.43,0.41,0.41,0.42,0.42,-0.82,-0.8,-0.81,0.0,0.0,19.0
68.0,74.0,71.33,1.0,0.56,0.59,0.57,0.15,0.17,0.16,-0.81,-0.78,-0.8,0.0,0.0,10.0
60.0,61.0,60.5,1.0,-0.09,0.09,0.02,0.63,1.04,0.94,-0.76,0.12,-0.23,0.0,0.0,3.0
69.0,77.0,72.43,1.0,0.56,0.58,0.57,0.11,0.14,0.13,-0.82,-0.78,-0.81,0.0,0.0,10.0
50.0,50.0,50.0,1.01,-0.76,1.03,0.06,-1.31,0.46,-0.38,-1.31,0.96,-0.22,0.0,0.0,3.0
72.0,72.0,72.0,1.0,0.05,0.06,0.05,0.65,0.67,0.66,-0.75,-0.74,-0.75,0.0,0.0,19.0
69.0,74.0,71.0,1.0,0.22,0.23,0.22,0.59,0.61,0.6,-0.77,-0.77,-0.77,0.0,0.0,26.0
56.0,57.0,56.8,1.0,-0.56,-0.56,-0.56,-0.72,-0.72,-0.72,0.39,0.41,0.4,0.0,0.0,11.0
74.0,89.0,81.4,1.01,-0.7,0.42,-0.09,-1.13,-0.05,-0.53,-1.0,1.15,0.21,0.0,0.0,5.0
70.0,71.0,70.83,1.0,0.05,0.06,0.06,0.65,0.67,0.66,-0.75,-0.74,-0.75,0.0,0.0,19.0
65.0,77.0,68.2,1.0,-0.36,-0.17,-0.19,0.03,1.01,0.25,0.13,0.98,0.92,0.0,0.0,24.0
74.0,87.0,79.83,1.01,0.12,0.91,0.34,-0.48,1.28,0.4,-1.29,-0.23,-0.83,0.0,0.0,19.0
57.0,82.0,72.8,0.99,-0.46,-0.43,-0.45,0.1,0.13,0.12,-0.89,-0.86,-0.87,0.0,0.0,29.0
59.0,78.0,65.5,1.0,-0.02,0.1,0.05,0.22,1.01,0.53,-0.98,-0.11,-0.81,0.0,0.0,3.0
68.0,70.0,69.0,0.99,-0.31,-0.29,-0.3,0.23,0.27,0.25,-0.92,-0.91,-0.91,0.0,0.0,19.0
67.0,69.0,67.8,0.99,-0.22,-0.2,-0.21,0.13,0.15,0.14,-0.96,-0.95,-0.96,0.0,0.0,25.0
69.0,73.0,70.17,1.0,-0.42,-0.3,-0.4,-0.18,-0.14,-0.17,-0.94,-0.88,-0.9,0.0,0.0,20.0
51.0,53.0,51.5,1.0,-0.26,-0.24,-0.25,-0.32,-0.3,-0.31,-0.92,-0.91,-0.92,0.0,0.0,20.0
71.0,77.0,73.83,0.99,-0.33,-0.29,-0.31,0.21,0.37,0.28,-0.92,-0.88,-0.9,0.0,0.0,19.0
54.0,77.0,58.6,1.0,-0.98,-0.16,-0.45,-0.97,0.0,-0.72,-0.86,0.42,0.06,0.0,0.0,10.0
89.0,90.0,89.67,1.01,-0.12,1.2,0.66,-0.37,1.04,0.55,-1.1,0.17,-0.28,0.0,0.0,30.0
69.0,70.0,69.8,1.0,-0.55,0.78,-0.32,0.3,1.31,0.78,-0.38,0.59,0.34,0.0,0.0,22.0
69.0,70.0,69.5,1.0,-0.07,-0.06,-0.06,-0.63,-0.63,-0.63,0.76,0.78,0.77,0.0,0.0,27.0
61.0,77.0,71.4,1.0,-0.54,-0.38,-0.46,-0.77,-0.44,-0.63,0.39,0.84,0.62,0.0,0.0,8.0
71.0,76.0,73.67,1.0,-0.29,-0.27,-0.28,-0.35,-0.28,-0.3,-0.94,-0.91,-0.92,0.0,0.0,4.0
72.0,75.0,73.33,1.0,0.05,0.06,0.05,0.65,0.67,0.66,-0.75,-0.74,-0.75,0.0,0.0,19.0
52.0,55.0,53.0,1.0,-0.43,-0.41,-0.41,-0.2,-0.19,-0.19,-0.89,-0.88,-0.89,0.0,0.0,23.0
65.0,68.0,67.5,1.0,0.02,0.05,0.04,-0.99,-0.95,-0.97,0.2,0.27,0.24,0.0,0.0,17.0
61.0,66.0,64.5,0.99,-0.02,0.7,0.47,-1.0,-0.08,-0.5,-1.02,0.14,-0.61,0.0,0.0,25.0
51.0,53.0,51.83,1.0,-0.42,-0.41,-0.42,-0.18,-0.17,-0.18,-0.89,-0.89,-0.89,0.0,0.0,23.0
46.0,48.0,47.17,0.99,-0.33,0.01,-0.2,-0.27,0.53,0.03,-1.11,-0.86,-0.97,0.0,0.0,30.0
59.0,63.0,60.43,1.0,-0.56,-0.48,-0.5,0.35,0.48,0.4,-0.79,-0.7,-0.77,0.0,0.0,24.0
45.0,48.0,46.17,0.99,-0.31,-0.29,-0.3,-0.13,-0.12,-0.12,-0.95,-0.93,-0.94,0.0,0.0,30.0
73.0,75.0,74.17,1.0,0.05,0.06,0.05,0.65,0.67,0.66,-0.75,-0.74,-0.75,0.0,0.0,19.0
67.0,84.0,71.86,1.0,-0.45,0.81,0.42,-0.61,1.07,0.23,-1.09,0.25,-0.76,0.0,0.0,10.0
63.0,72.0,67.43,1.0,-0.3,-0.29,-0.29,0.08,0.1,0.09,-0.96,-0.95,-0.95,0.0,0.0,6.0
61.0,64.0,63.33,0.99,0.1,0.11,0.1,0.17,0.18,0.17,-0.98,-0.97,-0.97,0.0,0.0,18.0
84.0,84.0,84.0,1.0,-0.71,-0.18,-0.46,0.66,0.99,0.83,-0.23,0.28,0.09,0.0,0.0,26.0
72.0,73.0,72.33,1.0,0.05,0.06,0.06,0.65,0.67,0.66,-0.75,-0.74,-0.75,0.0,0.0,19.0
60.0,61.0,60.5,0.99,-0.24,-0.23,-0.24,-0.98,-0.96,-0.96,-0.04,-0.02,-0.03,0.0,0.0,6.0
66.0,67.0,66.8,0.99,-0.63,-0.19,-0.25,-0.3,-0.09,-0.16,0.62,0.97,0.95,0.0,0.0,24.0
82.0,84.0,83.0,1.01,0.1,0.31,0.25,0.74,1.06,0.84,-0.63,0.11,-0.44,0.0,0.0,1.0
72.0,75.0,73.6,1.0,0.03,0.04,0.04,0.79,0.81,0.8,-0.6,-0.59,-0.6,0.0,0.0,19.0
74.0,85.0,80.67,1.0,-0.26,-0.18,-0.24,0.58,0.93,0.9,-0.7,-0.32,-0.37,0.0,0.0,4.0
59.0,59.0,59.0,0.99,-0.08,0.86,0.12,-1.26,0.81,-0.86,-0.99,0.64,0.25,0.0,0.0,6.0
59.0,61.0,60.0,1.01,0.75,0.75,0.75,0.27,0.28,0.28,0.61,0.62,0.62,0.0,0.0,29.0
51.0,63.0,56.83,0.99,-0.01,-0.0,-0.01,0.36,0.37,0.36,-0.93,-0.92,-0.92,0.0,0.0,0.0
85.0,86.0,85.17,1.0,-0.27,-0.27,-0.27,-0.35,-0.34,-0.35,0.89,0.9,0.89,0.0,0.0,12.0
49.0,49.0,49.0,1.01,-0.77,-0.04,-0.55,-1.23,0.35,-0.55,-1.29,0.06,-0.57,0.0,0.0,5.0
64.0,65.0,64.83,0.99,-0.57,-0.56,-0.56,-0.73,-0.72,-0.72,0.37,0.39,0.38,0.0,0.0,14.0
75.0,77.0,76.33,1.0,-0.55,1.39,0.48,-0.32,1.01,0.61,-0.92,-0.12,-0.46,0.0,0.0,10.0
59.0,62.0,60.71,1.0,-0.16,-0.15,-0.15,0.82,0.83,0.82,-0.54,-0.53,-0.54,0.0,0.0,27.0
59.0,74.0,62.0,0.99,0.03,0.05,0.04,0.62,0.63,0.63,-0.78,-0.76,-0.77,0.0,0.0,0.0
68.0,69.0,68.14,1.0,-0.76,-0.33,-0.48,-0.52,0.9,0.42,-1.42,0.53,-0.66,0.0,0.0,27.0
51.0,72.0,62.8,1.0,-0.85,-0.26,-0.41,-0.37,0.21,-0.04,-0.96,-0.51,-0.88,0.0,0.0,20.0
59.0,59.0,59.0,1.0,0.57,0.57,0.57,-0.41,-0.39,-0.4,-0.72,-0.71,-0.71,0.0,0.0,22.0
59.0,70.0,65.33,1.0,-0.87,0.02,-0.26,-1.08,1.43,0.15,-1.4,0.12,-0.58,0.0,0.0,17.0
81.0,84.0,82.43,1.0,-0.33,-0.19,-0.29,-0.33,0.44,-0.17,0.86,1.01,0.9,0.0,0.0,12.0
73.0,78.0,75.33,1.0,-0.05,-0.04,-0.05,-0.99,-0.98,-0.99,0.15,0.16,0.15,0.0,0.0,12.0
59.0,61.0,60.17,0.99,0.05,0.4,0.17,-1.04,-0.77,-0.92,-0.37,0.39,0.3,0.0,0.0,6.0
57.0,59.0,57.8,1.01,0.72,0.73,0.72,0.19,0.2,0.19,0.67,0.68,0.67,0.0,0.0,29.0
68.0,70.0,69.4,1.0,0.53,0.55,0.54,0.1,0.12,0.11,-0.84,-0.82,-0.83,0.0,0.0,10.0
60.0,64.0,61.67,1.01,0.17,0.24,0.2,0.97,1.01,0.98,-0.13,0.14,-0.0,0.0,0.0,14.0
59.0,60.0,59.17,1.0,-0.08,-0.08,-0.08,0.28,0.28,0.28,-0.96,-0.96,-0.96,0.0,0.0,1.0
75.0,82.0,78.17,0.99,-0.04,-0.03,-0.04,-0.28,-0.27,-0.28,0.95,0.96,0.95,0.0,0.0,1.0
74.0,86.0,78.2,1.03,-1.16,0.63,-0.65,-0.88,2.25,0.11,-1.41,0.4,-0.51,0.0,0.0,27.0
71.0,77.0,75.0,0.99,-0.41,0.13,-0.07,-1.02,-0.08,-0.41,-0.41,1.08,0.83,0.0,0.0,1.0
79.0,111.0,90.0,1.0,0.14,0.14,0.14,0.76,0.77,0.77,-0.63,-0.62,-0.62,0.0,0.0,26.0
74.0,75.0,74.43,1.0,-0.93,-0.49,-0.61,-0.84,-0.2,-0.33,-1.0,-0.15,-0.68,0.0,0.0,21.0
59.0,69.0,61.33,0.99,-0.01,0.05,0.01,0.13,0.16,0.14,-0.99,-0.98,-0.98,0.0,0.0,29.0
64.0,66.0,65.0,1.0,-1.1,0.1,-0.42,-1.14,0.57,-0.39,-1.1,0.36,-0.58,0.0,0.0,17.0
54.0,57.0,55.43,1.0,-0.75,0.28,-0.36,-1.1,1.67,-0.03,-1.28,-0.08,-0.85,0.0,0.0,30.0
61.0,68.0,64.0,1.0,-0.74,-0.7,-0.71,0.37,0.42,0.4,-0.61,-0.56,-0.58,0.0,0.0,24.0
68.0,75.0,71.83,1.0,-0.05,-0.04,-0.04,-0.99,-0.97,-0.98,0.18,0.2,0.19,0.0,0.0,12.0
67.0,68.0,67.8,1.01,-0.93,1.31,0.01,-1.5,1.1,-0.38,-1.08,1.03,-0.42,0.0,0.0,27.0
74.0,93.0,81.6,1.0,-1.04,-0.31,-0.6,-0.42,0.64,0.21,-0.12,0.96,0.65,0.0,0.0,24.0
69.0,70.0,69.8,1.0,0.05,0.06,0.05,0.65,0.67,0.66,-0.75,-0.74,-0.74,0.0,0.0,19.0
67.0,84.0,79.4,1.0,-0.72,-0.14,-0.43,-0.76,0.92,0.42,-1.08,0.54,-0.51,0.0,0.0,17.0
68.0,72.0,69.17,1.0,-0.12,0.91,-0.1,0.39,0.62,0.4,-0.91,-0.82,-0.91,0.0,0.0,17.0
67.0,69.0,68.0,1.0,0.63,0.64,0.64,0.45,0.47,0.46,-0.62,-0.6,-0.61,0.0,0.0,10.0
68.0,68.0,68.0,0.99,-0.55,-0.39,-0.49,0.13,0.84,0.33,-0.92,-0.28,-0.77,0.0,0.0,27.0
85.0,89.0,87.29,1.01,-0.46,1.21,0.55,-0.54,1.27,0.58,-0.87,0.83,-0.37,0.0,0.0,24.0
70.0,78.0,73.0,1.01,-0.4,-0.04,-0.18,0.39,0.94,0.75,-0.93,-0.54,-0.62,0.0,0.0,1.0
47.0,47.0,47.0,0.99,-0.26,-0.25,-0.25,0.27,0.28,0.28,-0.93,-0.92,-0.92,0.0,0.0,30.0
78.0,86.0,80.0,1.0,-0.13,-0.03,-0.11,0.24,0.45,0.31,-0.98,-0.84,-0.95,0.0,0.0,12.0
65.0,82.0,71.5,0.99,-0.47,0.03,-0.0,-0.09,0.1,0.07,-0.99,-0.77,-0.98,0.0,0.0,0.0
65.0,69.0,67.4,0.99,-0.04,-0.03,-0.03,0.52,0.53,0.52,-0.85,-0.84,-0.84,0.0,0.0,0.0
56.0,59.0,57.4,1.0,-0.19,-0.18,-0.19,0.72,0.73,0.73,0.66,0.67,0.67,0.0,0.0,27.0
68.0,85.0,75.83,1.01,-0.37,0.33,-0.02,-0.79,0.22,-0.27,-0.59,1.16,0.85,0.0,0.0,25.0
52.0,54.0,52.83,0.99,-0.01,-0.0,-0.0,0.36,0.37,0.37,-0.93,-0.92,-0.92,0.0,0.0,0.0
55.0,56.0,55.6,0.99,-0.29,-0.01,-0.22,-0.97,-0.69,-0.91,0.16,0.67,0.3,0.0,0.0,6.0
72.0,81.0,77.5,0.99,0.08,0.1,0.09,0.39,0.41,0.4,-0.9,-0.9,-0.9,0.0,0.0,18.0
62.0,66.0,63.33,0.99,0.41,0.71,0.51,-0.89,-0.51,-0.71,0.08,0.66,0.42,0.0,0.0,6.0
55.0,62.0,60.6,0.99,-0.04,-0.03,-0.04,0.51,0.51,0.51,-0.86,-0.85,-0.85,0.0,0.0,0.0
72.0,76.0,74.33,1.0,0.05,0.06,0.06,0.65,0.67,0.66,-0.75,-0.74,-0.75,0.0,0.0,19.0
52.0,55.0,54.0,1.0,-0.72,-0.33,-0.54,-0.14,0.31,-0.06,-0.91,-0.63,-0.83,0.0,0.0,3.0
61.0,62.0,61.67,1.0,0.54,0.55,0.54,-0.31,-0.3,-0.3,-0.79,-0.77,-0.78,0.0,0.0,29.0
54.0,56.0,55.33,1.01,-1.18,-0.11,-0.33,-0.95,0.27,-0.1,-1.18,-0.19,-0.87,0.0,0.0,20.0
58.0,59.0,58.8,1.0,0.18,0.55,0.49,-1.18,-0.17,-0.85,-1.07,0.29,0.11,0.0,0.0,6.0
59.0,60.0,59.67,1.0,-0.54,-0.53,-0.54,0.82,0.83,0.83,-0.18,-0.17,-0.17,1.0,1.0,21.0
48.0,49.0,48.67,1.0,0.65,0.66,0.65,-0.77,-0.75,-0.75,-0.06,-0.04,-0.05,1.0,1.0,5.0
60.0,72.0,65.33,1.0,-0.44,0.25,-0.07,-0.23,0.73,0.44,-1.03,-0.68,-0.87,1.0,1.0,25.0
51.0,53.0,51.83,1.0,0.29,0.3,0.3,-0.17,-0.17,-0.17,-0.94,-0.94,-0.94,1.0,1.0,3.0
65.0,71.0,67.17,1.0,0.24,0.24,0.24,0.97,0.98,0.97,-0.03,-0.02,-0.03,1.0,1.0,14.0
68.0,79.0,72.2,0.99,-0.38,-0.34,-0.36,0.52,0.55,0.54,-0.77,-0.74,-0.75,1.0,1.0,26.0
56.0,63.0,57.6,0.99,0.56,0.57,0.57,-0.82,-0.81,-0.82,0.05,0.06,0.06,1.0,1.0,6.0
55.0,55.0,55.0,1.0,-0.12,-0.11,-0.11,-0.96,-0.95,-0.96,0.26,0.27,0.26,1.0,1.0,11.0
47.0,49.0,48.0,0.99,-0.28,-0.27,-0.28,0.27,0.28,0.28,-0.92,-0.91,-0.91,1.0,1.0,30.0
59.0,100.0,86.83,1.0,-0.5,-0.45,-0.46,0.44,0.58,0.57,-0.74,-0.67,-0.68,1.0,1.0,21.0
62.0,64.0,63.0,1.0,-0.14,0.35,0.18,-0.46,0.22,-0.11,-1.24,-0.77,-0.96,1.0,1.0,24.0
59.0,63.0,61.0,1.0,0.42,0.43,0.43,-0.16,-0.15,-0.16,-0.89,-0.88,-0.89,1.0,1.0,27.0
62.0,68.0,64.5,0.99,-0.69,-0.68,-0.68,-0.16,-0.14,-0.14,-0.71,-0.7,-0.71,1.0,1.0,17.0
57.0,59.0,58.0,1.0,0.13,0.13,0.13,0.66,0.67,0.66,-0.73,-0.73,-0.73,1.0,1.0,29.0
69.0,72.0,71.0,0.99,-0.74,-0.73,-0.73,-0.48,-0.47,-0.47,0.47,0.48,0.47,1.0,1.0,14.0
64.0,73.0,68.0,0.99,-0.21,-0.18,-0.2,0.28,0.32,0.31,-0.93,-0.92,-0.92,1.0,1.0,25.0
50.0,56.0,53.29,1.0,0.08,0.1,0.09,0.02,0.02,0.02,-1.01,-1.0,-1.0,1.0,1.0,3.0
67.0,68.0,67.83,0.99,-0.42,-0.41,-0.42,0.45,0.48,0.46,-0.78,-0.77,-0.77,1.0,1.0,19.0
48.0,49.0,48.83,1.0,-0.9,-0.66,-0.69,-0.36,-0.27,-0.29,-0.69,-0.33,-0.66,1.0,1.0,20.0
51.0,53.0,51.67,0.99,-0.35,-0.34,-0.34,0.24,0.26,0.25,-0.9,-0.88,-0.89,1.0,1.0,11.0
64.0,98.0,77.6,1.01,-0.93,0.21,-0.54,-0.94,1.21,0.03,-1.03,-0.25,-0.81,1.0,1.0,22.0
61.0,62.0,61.2,1.0,-0.35,-0.35,-0.35,0.1,0.11,0.11,0.93,0.93,0.93,1.0,1.0,24.0
66.0,67.0,66.5,1.0,-0.22,-0.21,-0.21,0.56,0.59,0.59,-0.78,-0.77,-0.78,1.0,1.0,26.0
60.0,63.0,61.0,0.99,-0.49,-0.48,-0.48,0.01,0.04,0.03,-0.87,-0.86,-0.86,1.0,1.0,29.0
57.0,57.0,57.0,0.99,0.36,0.36,0.36,-0.81,-0.8,-0.81,0.45,0.46,0.45,1.0,1.0,6.0
45.0,46.0,45.67,1.0,-0.14,-0.13,-0.13,-0.38,-0.36,-0.37,-0.92,-0.91,-0.92,1.0,1.0,5.0
78.0,83.0,80.43,1.0,-0.41,-0.27,-0.28,-0.79,-0.5,-0.54,-0.86,-0.44,-0.79,1.0,1.0,20.0
57.0,64.0,61.5,1.0,-0.55,-0.54,-0.54,-0.68,-0.67,-0.68,0.48,0.49,0.49,1.0,1.0,11.0
57.0,57.0,57.0,0.99,-0.01,0.0,-0.0,0.36,0.37,0.37,-0.93,-0.92,-0.92,1.0,1.0,0.0
66.0,67.0,66.6,1.0,0.74,0.74,0.74,0.52,0.53,0.53,-0.43,-0.42,-0.42,1.0,1.0,1.0
65.0,68.0,66.8,0.99,-0.38,-0.37,-0.37,0.34,0.36,0.35,-0.86,-0.84,-0.85,1.0,1.0,30.0
54.0,55.0,54.71,1.0,-0.55,-0.54,-0.54,-0.64,-0.64,-0.64,0.53,0.55,0.54,1.0,1.0,11.0
57.0,58.0,57.75,0.99,-0.2,-0.19,-0.2,0.47,0.48,0.47,-0.86,-0.85,-0.85,1.0,1.0,29.0
47.0,48.0,47.5,1.0,-0.08,-0.07,-0.07,0.02,0.03,0.03,-1.0,-0.99,-0.99,1.0,1.0,23.0
44.0,49.0,46.0,1.0,-0.33,-0.31,-0.32,-0.17,-0.12,-0.15,-0.95,-0.92,-0.93,1.0,1.0,20.0
55.0,60.0,58.67,1.0,0.43,0.44,0.43,0.64,0.65,0.64,-0.64,-0.62,-0.63,1.0,1.0,29.0
65.0,74.0,69.4,0.99,-0.33,-0.32,-0.32,-0.33,-0.31,-0.32,0.88,0.89,0.88,1.0,1.0,22.0
53.0,59.0,56.5,0.99,-0.04,-0.02,-0.04,0.43,0.46,0.45,-0.89,-0.88,-0.88,1.0,1.0,0.0
65.0,68.0,66.0,1.0,0.02,0.03,0.02,0.24,0.25,0.24,-0.98,-0.97,-0.97,1.0,1.0,24.0
69.0,70.0,69.2,1.0,0.08,0.09,0.08,0.96,0.97,0.97,0.21,0.26,0.24,1.0,1.0,19.0
55.0,87.0,67.4,0.99,-0.28,-0.27,-0.28,-0.95,-0.94,-0.94,0.14,0.15,0.15,1.0,1.0,6.0
62.0,63.0,62.2,1.0,-0.24,0.47,0.36,-0.39,1.14,0.02,-1.02,-0.17,-0.76,1.0,1.0,27.0
68.0,69.0,68.33,0.99,-0.42,-0.41,-0.42,0.45,0.48,0.46,-0.78,-0.77,-0.77,1.0,1.0,19.0
57.0,63.0,60.0,0.99,-0.11,-0.1,-0.11,0.57,0.58,0.58,-0.81,-0.8,-0.8,1.0,1.0,29.0
57.0,65.0,60.0,1.0,-0.11,-0.08,-0.09,0.16,0.27,0.22,0.95,0.98,0.97,1.0,1.0,17.0
57.0,61.0,58.8,1.0,-0.16,-0.15,-0.15,0.92,0.93,0.92,-0.35,-0.34,-0.35,1.0,1.0,25.0
62.0,67.0,63.2,1.0,0.27,0.29,0.28,0.37,0.38,0.37,-0.88,-0.87,-0.88,1.0,1.0,25.0
56.0,58.0,57.5,1.01,0.53,0.53,0.53,-0.03,-0.02,-0.02,0.86,0.86,0.86,1.0,1.0,29.0
56.0,60.0,58.0,0.99,0.43,0.43,0.43,-0.81,-0.8,-0.81,0.39,0.39,0.39,1.0,1.0,6.0
